city,x,y,name,population,timezone,state,state_abbreviation,elevation,latitude,longitude,elevation_m,country_code
"Magnolia, AR",-0.393506092,2.113604952,"Magnolia, AR",11669,America/Chicago,Arkansas,AR,103,33.26707,-93.23933,106,US
"Oquirrh, UT",0.988819242,0.839437098,"Oquirrh, UT",11668,America/Denver,Utah,UT,1500,40.6305,-112.03383,1504,US
"Mexico, MO",-0.339938135,-0.122339188,"Mexico, MO",11660,America/Chicago,Missouri,MO,244,39.16976,-91.88295,247,US
"Goshen, OH",-1.554081649,-1.232213627,"Goshen, OH",11644,America/New_York,Ohio,OH,255,39.23339,-84.16132,254,US
"Arlington, TN",-0.735813648,2.086751846,"Arlington, TN",11625,America/Chicago,Tennessee,TN,86,35.2962,-89.66147,87,US
"Enumclaw, WA",0.904915448,-0.608249995,"Enumclaw, WA",11609,America/Los_Angeles,Washington,WA,232,47.20427,-121.9915,230,US
"Oskaloosa, IA",-2.076787774,-1.553838363,"Oskaloosa, IA",11607,America/Chicago,Iowa,IA,256,41.29639,-92.64436,256,US
"El Campo, TX",1.052895432,2.762827592,"El Campo, TX",11604,America/Chicago,Texas,TX,32,29.19664,-96.26969,36,US
"Lynnfield, MA",-0.260694645,-1.900818862,"Lynnfield, MA",11596,America/New_York,Massachusetts,MA,27,42.53898,-71.04811,31,US
"Cocoa Beach, FL",1.122375766,2.06306171,"Cocoa Beach, FL",11595,America/New_York,Florida,FL,0,28.32055,-80.60922,1,US
"Mack, OH",-0.814617087,-0.354315545,"Mack, OH",11585,America/New_York,Ohio,OH,276,39.15811,-84.64967,276,US
"Villas, FL",1.09132714,1.300020485,"Villas, FL",11569,America/New_York,Florida,FL,3,26.55035,-81.8687,6,US
"Signal Hill, CA",4.663732899,-0.904822599,"Signal Hill, CA",11565,America/Los_Angeles,California,CA,45,33.80446,-118.16785,49,US
"Archdale, NC",-1.485488174,2.312344249,"Archdale, NC",11564,America/New_York,North Carolina,NC,264,35.91458,-79.97198,265,US
"Moss Bluff, LA",1.266625704,1.448500145,"Moss Bluff, LA",11557,America/Chicago,Louisiana,LA,7,30.3027,-93.19071,21,US
"Troy, MO",-1.155374723,-0.13761421,"Troy, MO",11542,America/Chicago,Missouri,MO,165,38.97949,-90.9807,163,US
"Greatwood, TX",1.40914288,2.06018506,"Greatwood, TX",11538,America/Chicago,Texas,TX,21,29.55413,-95.67578,25,US
"Destrehan, LA",1.256018199,1.70459661,"Destrehan, LA",11535,America/Chicago,Louisiana,LA,3,29.94322,-90.35345,8,US
"Cheney, WA",0.712366913,-0.606910786,"Cheney, WA",11534,America/Los_Angeles,Washington,WA,717,47.48739,-117.57576,719,US
"Richfield, WI",-1.050849713,-2.618074563,"Richfield, WI",11530,America/Chicago,Wisconsin,WI,298,43.25612,-88.19398,301,US
"Groveland, FL",1.137276465,1.213613691,"Groveland, FL",11528,America/New_York,Florida,FL,31,28.55805,-81.85119,33,US
"Grafton, WI",-1.495321593,-2.507050768,"Grafton, WI",11527,America/Chicago,Wisconsin,WI,231,43.31973,-87.95342,232,US
"Yeadon, PA",-1.383893277,-1.421024709,"Yeadon, PA",11523,America/New_York,Pennsylvania,PA,34,39.939,-75.25546,37,US
"Shady Hills, FL",0.440254582,1.860731625,"Shady Hills, FL",11523,America/New_York,Florida,FL,16,28.41,-82.54288,25,US
"Hobe Sound, FL",1.268671322,2.205689077,"Hobe Sound, FL",11521,America/New_York,Florida,FL,6,27.0595,-80.13643,8,US
"Byram, MS",-0.61392895,1.155202477,"Byram, MS",11509,America/Chicago,Mississippi,MS,81,32.17932,-90.24537,81,US
"Claiborne, LA",1.142652499,1.570033826,"Claiborne, LA",11507,America/Chicago,Louisiana,LA,48,32.51598,-92.1918,52,US
"Yulee, FL",0.799288081,2.470106237,"Yulee, FL",11491,America/New_York,Florida,FL,11,30.6319,-81.60649,10,US
"Rehoboth, MA",-0.087488547,-1.818422911,"Rehoboth, MA",11486,America/New_York,Massachusetts,MA,13,41.84038,-71.24949,-6,US
"Excelsior Springs, MO",-1.729124163,-0.193863665,"Excelsior Springs, MO",11486,America/Chicago,Missouri,MO,239,39.33917,-94.22606,242,US
"Cedarburg, WI",-1.484209636,-2.791045251,"Cedarburg, WI",11482,America/Chicago,Wisconsin,WI,239,43.29667,-87.98759,239,US
"Lewisburg, TN",-2.093176718,2.019031091,"Lewisburg, TN",11480,America/Chicago,Tennessee,TN,225,35.44924,-86.78889,226,US
"Prairie Ridge, WA",-0.035184339,-1.406796154,"Prairie Ridge, WA",11464,America/Los_Angeles,Washington,WA,209,47.1376,-122.14873,198,US
"Anna, TX",1.049125732,1.779514425,"Anna, TX",11463,America/Chicago,Texas,TX,217,33.349,-96.5486,221,US
"Bellmawr, NJ",-0.27868166,-1.607353431,"Bellmawr, NJ",11462,America/New_York,New Jersey,NJ,18,39.86761,-75.09462,20,US
"Hillsborough, CA",3.710295149,-0.345290058,"Hillsborough, CA",11451,America/Los_Angeles,California,CA,98,37.5741,-122.37942,93,US
"Los Alamitos, CA",5.208863722,-0.938569367,"Los Alamitos, CA",11449,America/Los_Angeles,California,CA,7,33.80307,-118.07256,12,US
"Clute, TX",1.407917344,2.258053871,"Clute, TX",11444,America/Chicago,Texas,TX,4,29.02469,-95.39883,8,US
"Somerset, KY",-1.932094356,0.356225261,"Somerset, KY",11439,America/New_York,Kentucky,KY,296,37.09202,-84.60411,298,US
"Parker, SC",-0.389804687,1.798984444,"Parker, SC",11431,America/New_York,South Carolina,SC,309,34.85067,-82.45346,309,US
"Branson, MO",-1.123497515,-0.238270809,"Branson, MO",11431,America/Chicago,Missouri,MO,237,36.64367,-93.21851,238,US
"Mendota, CA",3.722045407,-2.012875866,"Mendota, CA",11430,America/Los_Angeles,California,CA,53,36.75356,-120.38156,53,US
"Salem, WI",-1.191306485,-2.109037043,"Salem, WI",11416,America/Chicago,Wisconsin,WI,237,42.55474,-88.11092,237,US
"Haddonfield, NJ",-0.423073987,-1.646408816,"Haddonfield, NJ",11414,America/New_York,New Jersey,NJ,25,39.8915,-75.03767,30,US
"Frederick, CO",0.876708436,-0.933514571,"Frederick, CO",11413,America/Denver,Colorado,CO,1519,40.09915,-104.9372,1521,US
"Crossville, TN",-1.754823454,3.08773959,"Crossville, TN",11411,America/Chicago,Tennessee,TN,565,35.94896,-85.0269,565,US
"Summit, IL",-1.722625074,-2.160601639,"Summit, IL",11389,America/Chicago,Illinois,IL,187,41.78809,-87.81033,189,US
"Piedmont, CA",3.768712705,-0.162046498,"Piedmont, CA",11376,America/Los_Angeles,California,CA,100,37.82437,-122.23163,97,US
"Lyndon, KY",-1.67995622,0.74036353,"Lyndon, KY",11372,America/Kentucky/Louisville,Kentucky,KY,177,38.25674,-85.60163,180,US
"Newcastle, WA",0.619921505,-0.618199839,"Newcastle, WA",11370,America/Los_Angeles,Washington,WA,172,47.53899,-122.15568,170,US
"Greentree, NJ",-0.134559545,-1.309024713,"Greentree, NJ",11367,America/New_York,New Jersey,NJ,31,39.89706,-74.95572,32,US
"Tyngsboro, MA",-0.134920441,-2.07928139,"Tyngsboro, MA",11366,America/New_York,Massachusetts,MA,42,42.67676,-71.42451,46,US
"Camden, AR",-0.84944115,1.652975717,"Camden, AR",11347,America/Chicago,Arkansas,AR,63,33.58456,-92.83433,64,US
"Waupun, WI",-1.63881871,-3.048161415,"Waupun, WI",11343,America/Chicago,Wisconsin,WI,272,43.63332,-88.72955,276,US
"Smyrna, DE",-0.624935041,0.545563059,"Smyrna, DE",11319,America/New_York,Delaware,DE,10,39.29983,-75.60465,10,US
"Mango, FL",1.117667595,1.431410718,"Mango, FL",11313,America/New_York,Florida,FL,16,27.97974,-82.30648,26,US
"Gardnerville Ranchos, NV",2.064496704,-0.85282279,"Gardnerville Ranchos, NV",11312,America/Los_Angeles,Nevada,NV,1481,38.88824,-119.74129,1487,US
"Magalia, CA",4.769550062,-1.485577938,"Magalia, CA",11310,America/Los_Angeles,California,CA,711,39.81211,-121.57831,707,US
"Broussard, LA",1.621374515,1.326798744,"Broussard, LA",11303,America/Chicago,Louisiana,LA,10,30.14715,-91.96123,14,US
"Merriam, KS",-0.600630417,-0.546114732,"Merriam, KS",11288,America/Chicago,Kansas,KS,277,39.02362,-94.69357,279,US
"Spearfish, SD",-0.445943906,-1.411511178,"Spearfish, SD",11283,America/Denver,South Dakota,SD,1112,44.49082,-103.85937,1110,US
"Plano, IL",-1.764848752,-1.406701636,"Plano, IL",11282,America/Chicago,Illinois,IL,198,41.66281,-88.53702,199,US
"Warren, RI",-0.240628393,-0.86155326,"Warren, RI",11280,America/New_York,Rhode Island,RI,15,41.73038,-71.28255,-6,US
"Shiloh, OH",-1.361470149,-0.438894959,"Shiloh, OH",11272,America/New_York,Ohio,OH,248,39.81867,-84.22855,250,US
"Guthrie, OK",-0.057926988,0.805382781,"Guthrie, OK",11270,America/Chicago,Oklahoma,OK,299,35.87894,-97.42532,307,US
"Cusseta, GA",-0.7618356,2.490646123,"Cusseta, GA",11267,America/New_York,Georgia,GA,162,32.30543,-84.7727,167,US
"Loganville, GA",-1.375140304,2.654482955,"Loganville, GA",11248,America/New_York,Georgia,GA,306,33.839,-83.90074,308,US
"Munhall, PA",-1.357261809,-1.760118976,"Munhall, PA",11247,America/New_York,Pennsylvania,PA,318,40.39229,-79.90005,319,US
"Yazoo City, MS",-0.854605661,2.362891088,"Yazoo City, MS",11245,America/Chicago,Mississippi,MS,34,32.85513,-90.40565,37,US
"Minooka, IL",-2.819331604,-2.969393716,"Minooka, IL",11243,America/Chicago,Illinois,IL,186,41.45531,-88.26173,186,US
"Campbellsville, KY",-2.482730974,1.661148034,"Campbellsville, KY",11237,America/New_York,Kentucky,KY,248,37.3434,-85.34191,250,US
"Yorktown, IN",-1.618426523,-1.334222651,"Yorktown, IN",11231,America/Indiana/Indianapolis,Indiana,IN,279,40.17365,-85.49414,282,US
"White House, TN",-0.906407966,1.710200892,"White House, TN",11226,America/Chicago,Tennessee,TN,263,36.47032,-86.65138,264,US
"Shiloh, PA",-1.315015427,-0.818749228,"Shiloh, PA",11218,America/New_York,Pennsylvania,PA,141,39.97815,-76.79719,140,US
"Beachwood, NJ",0.246321007,-1.758757612,"Beachwood, NJ",11214,America/New_York,New Jersey,NJ,8,39.93901,-74.19292,6,US
"Haysville, KS",-1.313494568,0.018084532,"Haysville, KS",11212,America/Chicago,Kansas,KS,384,37.56446,-97.35227,390,US
"Spencer, IA",-1.02620291,-1.128685723,"Spencer, IA",11212,America/Chicago,Iowa,IA,400,43.14136,-95.14444,402,US
"Berkley, CO",1.459236404,-1.205882894,"Berkley, CO",11207,America/Denver,Colorado,CO,1589,39.80443,-105.02609,1593,US
"Vernal, UT",1.305576229,1.087477256,"Vernal, UT",11200,America/Denver,Utah,UT,1624,40.45552,-109.52875,1628,US
"Jefferson, LA",0.962389545,1.014010675,"Jefferson, LA",11193,America/Chicago,Louisiana,LA,1,29.96604,-90.15313,4,US
"Jerome, ID",0.929733625,-0.28534928,"Jerome, ID",11184,America/Boise,Idaho,ID,1147,42.72407,-114.51865,1149,US
"Springdale, OH",-1.616783945,-0.19580746,"Springdale, OH",11182,America/New_York,Ohio,OH,225,39.287,-84.48522,226,US
"Grandview, WA",0.510171371,-0.665183446,"Grandview, WA",11176,America/Los_Angeles,Washington,WA,245,46.25097,-119.9017,245,US
"Dudley, MA",-0.017046812,-1.094702961,"Dudley, MA",11165,America/New_York,Massachusetts,MA,206,42.0451,-71.93007,206,US
"Tarboro, NC",-1.829625101,3.089893101,"Tarboro, NC",11164,America/New_York,North Carolina,NC,13,35.89682,-77.5358,15,US
"Sierra Madre, CA",4.976927479,-1.496937131,"Sierra Madre, CA",11163,America/Los_Angeles,California,CA,252,34.16167,-118.05285,255,US
"Camp Verde, AZ",2.118821738,-0.414278036,"Camp Verde, AZ",11155,America/Phoenix,Arizona,AZ,961,34.56364,-111.85432,959,US
"Chino Valley, AZ",2.55307686,-0.452787497,"Chino Valley, AZ",11137,America/Phoenix,Arizona,AZ,1435,34.75752,-112.45378,1436,US
"Lantana, FL",1.098266855,1.762844288,"Lantana, FL",11136,America/New_York,Florida,FL,2,26.58674,-80.05199,8,US
"Gulf Shores, AL",-0.390630627,4.148031797,"Gulf Shores, AL",11131,America/Chicago,Alabama,AL,2,30.24604,-87.70082,6,US
"Cherry Creek, CO",1.455872619,-1.323173038,"Cherry Creek, CO",11120,America/Denver,Colorado,CO,1720,39.63455,-104.88286,1726,US
"Lighthouse Point, FL",0.95254746,1.341095439,"Lighthouse Point, FL",11104,America/New_York,Florida,FL,1,26.27564,-80.08727,6,US
"Lawrenceburg, KY",-2.705838019,0.87291007,"Lawrenceburg, KY",11103,America/New_York,Kentucky,KY,240,38.0373,-84.89662,240,US
"Fredericksburg, TX",0.841752773,2.451281443,"Fredericksburg, TX",11094,America/Chicago,Texas,TX,516,30.2752,-98.87198,519,US
"Leicester, MA",-0.260455616,-1.405188437,"Leicester, MA",11064,America/New_York,Massachusetts,MA,298,42.24593,-71.90868,302,US
"Peru, IN",-1.010464863,-1.61584365,"Peru, IN",11060,America/Indiana/Indianapolis,Indiana,IN,199,40.75365,-86.06888,203,US
"Burkburnett, TX",0.769874849,2.639644168,"Burkburnett, TX",11043,America/Chicago,Texas,TX,323,34.09787,-98.57061,327,US
"Sonoma, CA",4.768610656,-1.197279229,"Sonoma, CA",11037,America/Los_Angeles,California,CA,26,38.29186,-122.45804,27,US
"Millington, TN",-1.343423144,2.401498463,"Millington, TN",11027,America/Chicago,Tennessee,TN,80,35.34147,-89.89731,81,US
"Little Chute, WI",-1.45622213,-3.134070631,"Little Chute, WI",11026,America/Chicago,Wisconsin,WI,223,44.27999,-88.31844,225,US
"Ontario, OR",0.914701737,-1.101818386,"Ontario, OR",10999,America/Boise,Oregon,OR,656,44.02655,-116.96294,655,US
"Crestwood, IL",-2.605746794,-2.192190204,"Crestwood, IL",10984,America/Chicago,Illinois,IL,182,41.66114,-87.75255,183,US
"Mitchellville, MD",-1.019622149,-0.406993653,"Mitchellville, MD",10967,America/New_York,Maryland,MD,32,38.92511,-76.74275,36,US
"Martin, TN",-0.670948034,1.874857501,"Martin, TN",10959,America/Chicago,Tennessee,TN,124,36.3434,-88.85034,127,US
"Union, MO",-1.04884339,-0.617695268,"Union, MO",10957,America/Chicago,Missouri,MO,162,38.45005,-91.00848,163,US
"Damascus, OR",0.393811277,-0.527710265,"Damascus, OR",10952,America/Los_Angeles,Oregon,OR,162,45.41762,-122.45898,162,US
"Cordele, GA",-1.342516891,2.89532274,"Cordele, GA",10943,America/New_York,Georgia,GA,96,31.96351,-83.78239,96,US
"Bluffdale, UT",1.198339273,0.830001401,"Bluffdale, UT",10931,America/Denver,Utah,UT,1352,40.48967,-111.93882,1357,US
"Malvern, AR",-0.99411936,1.292160626,"Malvern, AR",10928,America/Chicago,Arkansas,AR,96,34.36231,-92.81295,102,US
"Seymour, TN",-1.192318843,1.673072627,"Seymour, TN",10919,America/New_York,Tennessee,TN,285,35.89064,-83.72462,289,US
"Quartz Hill, CA",4.96356571,-1.143748358,"Quartz Hill, CA",10912,America/Los_Angeles,California,CA,761,34.64526,-118.21813,766,US
"Trinity, FL",0.555154689,1.302425549,"Trinity, FL",10907,America/New_York,Florida,FL,6,28.18085,-82.68177,15,US
"Fairfield, AL",-0.610375979,2.035926941,"Fairfield, AL",10907,America/Chicago,Alabama,AL,171,33.48594,-86.91194,182,US
"Lincolnton, NC",-1.660058667,2.992077544,"Lincolnton, NC",10900,America/New_York,North Carolina,NC,254,35.47375,-81.25453,259,US
"Ironton, OH",-2.330447293,-0.459379052,"Ironton, OH",10900,America/New_York,Ohio,OH,168,38.53675,-82.68294,170,US
"Newman, CA",3.758812683,-0.907069144,"Newman, CA",10899,America/Los_Angeles,California,CA,27,37.31383,-121.02076,30,US
"Summerfield, MD",-0.238597188,0.143101528,"Summerfield, MD",10898,America/New_York,Maryland,MD,,38.90454,-76.8683,64,US
"Doraville, GA",-0.740064399,2.573355093,"Doraville, GA",10896,America/New_York,Georgia,GA,327,33.89816,-84.28326,327,US
"DeRidder, LA",1.269161065,1.755814377,"DeRidder, LA",10890,America/Chicago,Louisiana,LA,62,30.84631,-93.28905,67,US
"Riverton, WY",0.275856294,-1.084125798,"Riverton, WY",10873,America/Denver,Wyoming,WY,1509,43.02496,-108.3801,1512,US
"Taylorville, IL",-3.12489953,-1.95208952,"Taylorville, IL",10873,America/Chicago,Illinois,IL,192,39.54894,-89.29453,191,US
"Citrus, CA",4.41972663,-0.191640607,"Citrus, CA",10866,America/Los_Angeles,California,CA,178,34.11501,-117.89173,179,US
"Summerfield, NC",-1.144502437,2.212253075,"Summerfield, NC",10861,America/New_York,North Carolina,NC,276,36.20875,-79.90476,276,US
"Acushnet, MA",-0.123232778,-2.159955334,"Acushnet, MA",10850,America/New_York,Massachusetts,MA,23,41.68066,-70.90782,2,US
"Waynesboro, PA",-1.9752217,-0.634633069,"Waynesboro, PA",10848,America/New_York,Pennsylvania,PA,216,39.75593,-77.57777,218,US
"Maltby, WA",0.729018492,-0.98365403,"Maltby, WA",10830,America/Los_Angeles,Washington,WA,122,47.8051,-122.11318,119,US
"Burr Ridge, IL",-2.224886243,-2.967630437,"Burr Ridge, IL",10818,America/Chicago,Illinois,IL,214,41.74892,-87.91839,219,US
"Lindon, UT",1.175271775,0.9110327,"Lindon, UT",10810,America/Denver,Utah,UT,1415,40.34329,-111.72076,1418,US
"Sweetwater, TX",1.387995368,2.695494445,"Sweetwater, TX",10809,America/Chicago,Texas,TX,661,32.47095,-100.40594,664,US
"Mount Holly, NJ",-0.607316733,-0.750500075,"Mount Holly, NJ",10804,America/New_York,New Jersey,NJ,3,39.99289,-74.78766,5,US
"Marinette, WI",-1.153226107,-2.905759009,"Marinette, WI",10799,America/Chicago,Wisconsin,WI,181,45.09998,-87.63066,182,US
"Bellefontaine Neighbors, MO",-1.18803139,-0.303242131,"Bellefontaine Neighbors, MO",10798,America/Chicago,Missouri,MO,140,38.74033,-90.2265,140,US
"Monroe, WI",-1.42028079,-1.69416092,"Monroe, WI",10796,America/Chicago,Wisconsin,WI,322,42.60112,-89.63845,322,US
"Holbrook, MA",0.161167912,-1.648358757,"Holbrook, MA",10791,America/New_York,Massachusetts,MA,63,42.1551,-71.00866,65,US
"Broomall, PA",-1.324677871,-1.807247242,"Broomall, PA",10789,America/New_York,Pennsylvania,PA,107,39.9815,-75.35658,112,US
"Worth, IL",-1.78693958,-1.796756438,"Worth, IL",10784,America/Chicago,Illinois,IL,186,41.68975,-87.79728,189,US
"Smithfield, UT",0.094150837,1.018027934,"Smithfield, UT",10782,America/Denver,Utah,UT,1403,41.83826,-111.83272,1403,US
"Farmersville, CA",3.952171952,-0.938378693,"Farmersville, CA",10774,America/Los_Angeles,California,CA,109,36.29773,-119.20678,113,US
"Crestline, CA",3.739944561,-1.03768903,"Crestline, CA",10770,America/Los_Angeles,California,CA,1406,34.24195,-117.2856,1415,US
"Delhi, CA",3.712262407,-0.965765933,"Delhi, CA",10755,America/Los_Angeles,California,CA,36,37.43216,-120.77854,42,US
"Sussex, WI",-1.344793471,-2.276946742,"Sussex, WI",10753,America/Chicago,Wisconsin,WI,280,43.1339,-88.22204,285,US
"Arkadelphia, AR",-1.001042087,2.523476493,"Arkadelphia, AR",10745,America/Chicago,Arkansas,AR,75,34.12093,-93.05378,81,US
"Saks, AL",-0.545608577,2.707522128,"Saks, AL",10744,America/Chicago,Alabama,AL,250,33.69871,-85.83969,252,US
"Collegedale, TN",-1.271445348,2.993252885,"Collegedale, TN",10743,America/New_York,Tennessee,TN,239,35.05313,-85.05023,238,US
"Echelon, NJ",0.499380142,-1.211023661,"Echelon, NJ",10743,America/New_York,New Jersey,NJ,26,39.84845,-74.99572,29,US
"Vermillion, SD",-0.60092332,-1.418278912,"Vermillion, SD",10738,America/Chicago,South Dakota,SD,374,42.77944,-96.92921,374,US
"Minneola, FL",0.613898822,1.607985926,"Minneola, FL",10735,America/New_York,Florida,FL,30,28.57444,-81.74619,40,US
"Middlesboro, KY",-2.27672383,1.833715413,"Middlesboro, KY",10730,America/New_York,Kentucky,KY,348,36.60842,-83.71658,352,US
"Lyons, IL",-1.90328407,-2.056041816,"Lyons, IL",10722,America/Chicago,Illinois,IL,189,41.81337,-87.81811,189,US
"Holly Springs, GA",-1.437039606,3.020723734,"Holly Springs, GA",10719,America/New_York,Georgia,GA,339,34.17399,-84.50132,342,US
"Bolivar, MO",-1.48134628,0.413991514,"Bolivar, MO",10714,America/Chicago,Missouri,MO,322,37.61448,-93.41047,326,US
"Bastrop, LA",1.295594905,2.115857128,"Bastrop, LA",10713,America/Chicago,Louisiana,LA,51,32.75625,-91.87235,58,US
"Atchison, KS",-0.758415297,0.084956021,"Atchison, KS",10712,America/Chicago,Kansas,KS,248,39.56305,-95.12164,253,US
"Largo, MD",0.377427003,0.239004311,"Largo, MD",10709,America/New_York,Maryland,MD,53,38.89761,-76.83025,53,US
"Cheval, FL",1.126076905,1.223888744,"Cheval, FL",10702,America/New_York,Florida,FL,18,28.14862,-82.51454,23,US
"Petal, MS",-0.562131936,2.162482067,"Petal, MS",10701,America/Chicago,Mississippi,MS,48,31.34656,-89.26006,52,US
"Halfway, MD",0.111617125,-0.378432775,"Halfway, MD",10701,America/New_York,Maryland,MD,184,39.62065,-77.75888,184,US
"Rosaryville, MD",-0.146837183,-0.253848915,"Rosaryville, MD",10697,America/New_York,Maryland,MD,68,38.75678,-76.80969,67,US
"Somers Point, NJ",-0.318749944,-1.442986657,"Somers Point, NJ",10688,America/New_York,New Jersey,NJ,8,39.31762,-74.5946,11,US
"Darby, PA",-1.097455159,-0.923916168,"Darby, PA",10687,America/New_York,Pennsylvania,PA,15,39.91845,-75.25907,18,US
"Vidalia, GA",-0.82765982,2.899316053,"Vidalia, GA",10679,America/New_York,Georgia,GA,91,32.21769,-82.41346,94,US
"Gonzales, LA",2.184852862,0.962779876,"Gonzales, LA",10678,America/Chicago,Louisiana,LA,3,30.23853,-90.9201,6,US
"Grimes, IA",-1.204692907,-0.928348421,"Grimes, IA",10676,America/Chicago,Iowa,IA,291,41.68832,-93.79106,289,US
"Picayune, MS",-0.298123447,2.062176463,"Picayune, MS",10675,America/Chicago,Mississippi,MS,22,30.52556,-89.67788,23,US
"Klahanie, WA",0.996012687,-0.462869567,"Klahanie, WA",10674,America/Los_Angeles,Washington,WA,,47.57097,-122.00839,138,US
"Batesville, AR",-1.372386184,2.311704961,"Batesville, AR",10668,America/Chicago,Arkansas,AR,103,35.7698,-91.64097,105,US
"Northbrook, OH",-1.397136429,-1.704805,"Northbrook, OH",10668,America/New_York,Ohio,OH,253,39.24645,-84.58356,255,US
"Kennett, MO",-1.509783095,-0.353103955,"Kennett, MO",10662,America/Chicago,Missouri,MO,82,36.23618,-90.05565,82,US
"Placerville, CA",4.934572922,-1.332010811,"Placerville, CA",10650,America/Los_Angeles,California,CA,569,38.72963,-120.79855,570,US
"Burlington, WI",-1.452552348,-2.441145444,"Burlington, WI",10650,America/Chicago,Wisconsin,WI,234,42.67807,-88.2762,236,US
"Muscoy, CA",4.181642671,-1.288853762,"Muscoy, CA",10644,America/Los_Angeles,California,CA,423,34.15418,-117.34421,422,US
"Sandy, OR",0.947184593,-0.516829488,"Sandy, OR",10644,America/Los_Angeles,Oregon,OR,299,45.39734,-122.26148,296,US
"Morro Bay, CA",5.029351446,-1.314736988,"Morro Bay, CA",10639,America/Los_Angeles,California,CA,19,35.36581,-120.8499,21,US
"Lansdowne, PA",-0.798169799,-1.727751671,"Lansdowne, PA",10639,America/New_York,Pennsylvania,PA,40,39.93817,-75.27185,43,US
"Scottdale, GA",-1.498147115,1.518461963,"Scottdale, GA",10631,America/New_York,Georgia,GA,314,33.78983,-84.26409,313,US
"Vashon, WA",0.268550554,-0.268785284,"Vashon, WA",10624,America/Los_Angeles,Washington,WA,116,47.44732,-122.45985,115,US
"Winton, CA",3.921359497,-0.699660153,"Winton, CA",10613,America/Los_Angeles,California,CA,54,37.38938,-120.61325,59,US
"Keokuk, IA",-2.009016219,-1.545575503,"Keokuk, IA",10609,America/Chicago,Iowa,IA,174,40.39727,-91.38487,174,US
"Eureka, MO",-0.518890338,-0.801005008,"Eureka, MO",10602,America/Chicago,Missouri,MO,139,38.50255,-90.6279,140,US
"Norwell, MA",-0.67097661,-2.28762768,"Norwell, MA",10581,America/New_York,Massachusetts,MA,24,42.16177,-70.79393,30,US
"Gardere, LA",2.164011116,1.422980883,"Gardere, LA",10580,America/Chicago,Louisiana,LA,7,30.34575,-91.14011,6,US
"Accokeek, MD",-0.325855594,-0.053640794,"Accokeek, MD",10573,America/New_York,Maryland,MD,58,38.66762,-77.02831,67,US
"Santaquin, UT",1.109029128,0.837260163,"Santaquin, UT",10572,America/Denver,Utah,UT,1519,39.97551,-111.78521,1519,US
"Lawrenceburg, TN",-2.08558621,1.889620136,"Lawrenceburg, TN",10569,America/Chicago,Tennessee,TN,273,35.2423,-87.33474,274,US
"Roscoe, IL",-2.184055981,-1.882064528,"Roscoe, IL",10565,America/Chicago,Illinois,IL,225,42.41335,-89.00927,228,US
"Exeter, CA",3.525520923,-1.629726616,"Exeter, CA",10548,America/Los_Angeles,California,CA,119,36.29606,-119.14205,122,US
"Belmont, NC",-0.879877385,1.681952453,"Belmont, NC",10533,America/New_York,North Carolina,NC,208,35.24292,-81.0373,211,US
"Forestville, OH",-0.909930276,-1.383130342,"Forestville, OH",10532,America/New_York,Ohio,OH,250,39.07506,-84.34494,253,US
"Weddington, NC",-1.349634541,2.704135024,"Weddington, NC",10531,America/New_York,North Carolina,NC,222,35.02237,-80.7609,222,US
"Jackson, WY",0.439969852,-0.467309358,"Jackson, WY",10523,America/Denver,Wyoming,WY,1901,43.47993,-110.76243,1904,US
"Manchester, TN",-1.157880841,1.563799019,"Manchester, TN",10517,America/Chicago,Tennessee,TN,323,35.48174,-86.0886,325,US
"Montgomery, OH",-1.23489436,-0.459194302,"Montgomery, OH",10506,America/New_York,Ohio,OH,244,39.22811,-84.35411,243,US
"Redwood Shores, CA",4.958974598,-0.957141168,"Redwood Shores, CA",10500,America/Los_Angeles,California,CA,2,37.53188,-122.24802,-1,US
"Dent, OH",-1.199312698,-0.642848649,"Dent, OH",10497,America/New_York,Ohio,OH,257,39.18589,-84.65134,255,US
"Sebring, FL",0.585685487,1.790068364,"Sebring, FL",10497,America/New_York,Florida,FL,41,27.49559,-81.44091,46,US
"Sauk Village, IL",-2.17244783,-2.484523518,"Sauk Village, IL",10493,America/Chicago,Illinois,IL,199,41.48837,-87.56754,201,US
"Wyomissing, PA",-1.651153414,-1.896810491,"Wyomissing, PA",10469,America/New_York,Pennsylvania,PA,96,40.32954,-75.96521,93,US
"Burley, ID",0.875064978,-0.00453875,"Burley, ID",10436,America/Boise,Idaho,ID,1269,42.53574,-113.79279,1268,US
"Key Largo, FL",0.883941143,1.841688016,"Key Largo, FL",10433,America/New_York,Florida,FL,2,25.08652,-80.44728,8,US
"Warr Acres, OK",-0.032515813,1.141958023,"Warr Acres, OK",10431,America/Chicago,Oklahoma,OK,399,35.52256,-97.61893,406,US
"Greencastle, IN",-2.369583158,-1.559635553,"Greencastle, IN",10401,America/Indiana/Indianapolis,Indiana,IN,257,39.64449,-86.86473,262,US
"Palatka, FL",0.618549944,2.715810355,"Palatka, FL",10390,America/New_York,Florida,FL,6,29.64858,-81.63758,11,US
"Sedona, AZ",2.315602289,-0.445654631,"Sedona, AZ",10388,America/Phoenix,Arizona,AZ,1326,34.86974,-111.76099,1323,US
"Norfolk, MA",-0.380066864,-1.469577835,"Norfolk, MA",10386,America/New_York,Massachusetts,MA,63,42.11954,-71.32506,67,US
